"","deletion","duplication","del.count","dup.count","total","normal.count","index","ethnicity"
"1",0.254410585404972,0.18925421010425,1269,944,4988,2775,"Index1","A"
"2",0.249599037690457,0.186046511627907,1245,928,4988,2815,"Index2","A"
"3",0.195870088211708,0.0908179631114675,977,453,4988,3558,"Index3","A"
"4",0.187048917401764,0.0751804330392943,933,375,4988,3680,"Index4","A"
"5",0.243806527723162,0.222178529296107,620,565,2543,1358,"Index1","B"
"6",0.24262681871805,0.216279984270547,617,550,2543,1376,"Index2","B"
"7",0.18010224144711,0.092410538733779,458,235,2543,1850,"Index3","B"
"8",0.17105780574125,0.0751081399921353,435,191,2543,1917,"Index4","B"
"9",0.255569056298096,0.21142162818955,631,522,2469,1316,"Index1","C"
"10",0.249088699878493,0.206561360874848,615,510,2469,1344,"Index2","C"
"11",0.191170514378291,0.103685702713649,472,256,2469,1741,"Index3","C"
"12",0.180639935196436,0.0773592547590117,446,191,2469,1832,"Index4","C"
