"","Var1","Freq","type","freq","ethnicity"
"1","0",1293,"deletion",0.259222133119487,"A"
"2","1",22,"deletion",0.00441058540497193,"A"
"3","2",24,"deletion",0.00481154771451484,"A"
"4","3",4,"deletion",0.000801924619085806,"A"
"5","4",25,"deletion",0.00501202886928629,"A"
"6","5",33,"deletion",0.0066158781074579,"A"
"7","6",323,"deletion",0.0647554129911788,"A"
"8","7",9,"deletion",0.00180433039294306,"A"
"9","8",36,"deletion",0.00721732157177225,"A"
"10","9",34,"deletion",0.00681635926222935,"A"
"11","10",10,"deletion",0.00200481154771451,"A"
"12","11",15,"deletion",0.00300721732157177,"A"
"13","12",58,"deletion",0.0116279069767442,"A"
"14","13",8,"deletion",0.00160384923817161,"A"
"15","14",48,"deletion",0.00962309542902967,"A"
"16","15",30,"deletion",0.00601443464314354,"A"
"17","16",9,"deletion",0.00180433039294306,"A"
"18","17",14,"deletion",0.00280673616680032,"A"
"19","18",25,"deletion",0.00501202886928629,"A"
"20","19",69,"deletion",0.0138331996792302,"A"
"21","20",12,"deletion",0.00240577385725742,"A"
"22","21",4,"deletion",0.000801924619085806,"A"
"23","22",16,"deletion",0.00320769847634322,"A"
"24","23",10,"deletion",0.00200481154771451,"A"
"25","24",252,"deletion",0.0505212510024058,"A"
"26","25",24,"deletion",0.00481154771451484,"A"
"27","26",18,"deletion",0.00360866078588613,"A"
"28","27",93,"deletion",0.018644747393745,"A"
"29","28",40,"deletion",0.00801924619085806,"A"
"30","29",12,"deletion",0.00240577385725742,"A"
"31","30",13,"deletion",0.00260625501202887,"A"
"32","31",10,"deletion",0.00200481154771451,"A"
"33","32",45,"deletion",0.00902165196471532,"A"
"34","33",29,"deletion",0.00581395348837209,"A"
"35","34",14,"deletion",0.00280673616680032,"A"
"36","35",31,"deletion",0.006214915797915,"A"
"37","36",18,"deletion",0.00360866078588613,"A"
"38","37",43,"deletion",0.00862068965517241,"A"
"39","38",7,"deletion",0.00140336808340016,"A"
"40","39",15,"deletion",0.00300721732157177,"A"
"41","40",7,"deletion",0.00140336808340016,"A"
"42","41",14,"deletion",0.00280673616680032,"A"
"43","42",17,"deletion",0.00340817963111468,"A"
"44","43",27,"deletion",0.00541299117882919,"A"
"45","44",20,"deletion",0.00400962309542903,"A"
"46","45",30,"deletion",0.00601443464314354,"A"
"47","46",22,"deletion",0.00441058540497193,"A"
"48","0",1085,"duplication",0.217522052927025,"A"
"49","1",32,"duplication",0.00641539695268645,"A"
